track_id,track_name,artists,album_name,track_genre,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_k5,cluster_label,cluster_k2,cluster_dbscan
7FzVgFOvltyHGJwZhBXJsz,Hay Luto En Mi Alma,Grupo Lluvia,"Colección De Oro: Hitazos De Los 70s Con Grupo Lluvia, Vol. 3",rock-n-roll,31,263918,0.455,0.527,-6.903,0.0273,0.612,1.09e-06,0.183,0.377,148.076,1,Acoustic / Slow,1,0
21kzMROplBP8MhBCmfYcSm,idio-savan,Serph,Psychic Music,idm,41,264000,0.543,0.876,-4.678,0.0526,0.0607,0.211,0.222,0.706,169.991,2,High-Energy / Instrumental / Melancholic / Fast,0,0
2iK4KaT6SSGcHtiBf4G16a,Wolves Run Together,King 810,La Petite Mort or a Conversation with God,metalcore,25,394986,0.587,0.576,-10.303,0.108,0.278,0.295,0.323,0.319,119.854,2,High-Energy / Instrumental / Melancholic / Fast,1,0
5D09Q1CFr1VtVIw92Gf0zS,Kashmir-Kashmir,Cesare Cremonini,10's Music Grandi Successi,indie-pop,0,249053,0.7,0.884,-4.672,0.0404,0.017,0.0,0.326,0.948,122.98,0,High-Energy / Fast / Live,0,0
2RotDMmg3PeoEFLiqsXUS7,When You Look at Me,Sara Kays,Coffee Moment,singer-songwriter,0,170375,0.641,0.293,-10.711,0.0291,0.836,0.0,0.217,0.373,129.849,1,Acoustic / Slow,1,0
1j1jFRnapbAfyF4pmzFNv0,Certeza - Ao Vivo,Mariana Nolasco,Turnê Planeta Borboleta - Ao Vivo,mpb,39,191839,0.273,0.678,-6.427,0.0531,0.404,7.04e-06,0.702,0.384,188.337,0,High-Energy / Fast / Live,0,-1
7rdnB5DAyPbaj51TCQRcqW,It's You,Sezairi,It's You,songwriter,73,251440,0.63,0.456,-8.285,0.0317,0.545,0.0,0.114,0.166,137.915,1,Acoustic / Slow,1,0
28v7Tv1z4En5wSPyST0Avn,Slösa Min Tid,Ivory,Slösa Min Tid,goth,24,212957,0.865,0.708,-4.422,0.0466,0.595,0.0,0.0871,0.6,110.014,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
3tS1VMpxp9bLn46Cyh09el,Stillborn,Black Label Society,The Blessed Hellride,hard-rock,66,196040,0.585,0.881,-4.719,0.0366,2.27e-05,0.000939,0.376,0.425,107.028,0,High-Energy / Fast / Live,0,0
5TWTXJLHoLv1v3tc6qNpce,Se Preparem (2019),Rodrigo Miallaret,O Rei Leão (Trilha Sonora Original em Português),disney,35,123733,0.565,0.319,-13.542,0.215,0.497,5.66e-05,0.0777,0.305,115.287,1,Acoustic / Slow,1,0
72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",Jasleen Royal;B Praak;Romy;Anvita Dutt,"Ranjha (From ""Shershaah"")",songwriter,76,228855,0.603,0.573,-5.843,0.0502,0.478,0.0,0.0971,0.236,82.941,1,Acoustic / Slow,1,0
4CDThn846W8Jp8Xqznv5B8,Lac de Soi,NTO,Lac de Soi,minimal-techno,36,299017,0.691,0.576,-10.269,0.0682,0.00454,0.401,0.082,0.279,117.996,2,High-Energy / Instrumental / Melancholic / Fast,0,2
2UsHzjgsBhSf4m0eNLFRVz,Kungar av December,Danny Saucedo;Niello,GOD JUL,swedish,0,173906,0.681,0.775,-7.194,0.0945,0.0622,0.0,0.392,0.938,92.956,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
24miLxqEchxqXnm528AI2H,Inabalavelmente,Charlie Brown Jr.,Camisa 10 joga bola até na chuva,hard-rock,37,265000,0.702,0.813,-4.731,0.0379,0.151,0.0,0.0783,0.879,151.013,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
2lgNhiIHOew2JoPxy0f5Tr,The Black Dog Syndrome,Coldworker,Rotting Paradise,grindcore,12,181480,0.202,0.977,-4.243,0.0809,1.55e-06,0.837,0.322,0.378,110.434,2,High-Energy / Instrumental / Melancholic / Fast,0,-1
3IQvH607gDiHXdT8wnqgtC,Jealousy,Tony Allen With Africa 70,"Progress, Jealousy",afrobeat,17,683893,0.866,0.636,-12.801,0.134,0.222,0.558,0.131,0.859,99.615,4,High-Energy / Dance-Party / Vocal-Heavy,0,-1
2R8ejIdcNa1SyIiWULs9yJ,Radio Lover,George Jones,One Woman Man,honky-tonk,11,205573,0.642,0.282,-18.19,0.0405,0.513,2.47e-05,0.243,0.29,121.163,1,Acoustic / Slow,1,0
6ZSMbNa2ZSmLR7LlC5Bz0m,Dance Party in the House,Blake Rules;Netherfriends,Kids Trap (In the House),kids,17,198347,0.913,0.604,-11.38,0.102,0.474,0.0624,0.101,0.616,120.984,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
4O5ygqTjiXLWo9HASGsk8E,Lush Life - Retro Version,Zara Larsson,Lush Life (Retro Version),swedish,52,193853,0.842,0.504,-7.028,0.0603,0.105,0.0,0.114,0.726,98.05,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
1wzsBoKZ37gHPw7LMQaegZ,Unfair,Andrew Lloyd Webber;Laura Baldwin;Georgina Castle;Victoria Hamilton-Barritt,Andrew Lloyd Webber’s “Cinderella”,show-tunes,28,253840,0.719,0.292,-13.085,0.675,0.578,0.0,0.127,0.559,127.013,4,High-Energy / Dance-Party / Vocal-Heavy,1,0
3ARjJ9tbdhlmgiG1vyiGNX,Manohara,Bombay Jayashri,Cheli (Original Motion Picture Soundtrack),classical,41,300573,0.682,0.392,-11.303,0.0498,0.452,9.85e-05,0.276,0.62,143.791,1,Acoustic / Slow,1,0
1NLUY7zpNnNgmRUwy2hIiL,Geh ma ned am Oasch,Marco Wagner,Geh ma ned am Oasch,party,33,229186,0.839,0.92,-3.446,0.0446,0.025,1.04e-06,0.0294,0.826,132.01,4,High-Energy / Dance-Party / Vocal-Heavy,0,-1
02hLeVpizdFbyt7MaZ8aUr,Let It Go,Jon Sarta,Disney Piano Classics 5: From the Corner,disney,21,248661,0.68,0.154,-20.01,0.0407,0.975,0.824,0.114,0.149,120.076,3,Calm / Acoustic / Instrumental / Melancholic / Slow,1,1
34o9rDFXv6bFX5qtkySnRQ,Counter Attack-Mankind,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",anime,48,366586,0.345,0.849,-9.816,0.0735,0.00658,0.875,0.36,0.185,110.009,2,High-Energy / Instrumental / Melancholic / Fast,0,-1
0iJ9sX4czYu2aDiWRPsVja,Melo Hello,"Sarah, the Illstrumentalist",Celebrate You,study,5,136969,0.749,0.303,-8.137,0.0386,0.0897,0.741,0.0861,0.283,99.005,2,High-Energy / Instrumental / Melancholic / Fast,1,-1
0Qj4YyHTtV01Fvfl2fibea,Cloud 9,Paravi,Cloud 9,indie-pop,60,142000,0.53,0.268,-9.799,0.0332,0.862,0.0,0.0936,0.338,113.715,1,Acoustic / Slow,1,0
6Yp3K2cy35hXnWQFE1yWrJ,Slow Song,The Knocks;Dragonette,Mellow Electronic Pop,alternative,0,253723,0.77,0.743,-3.251,0.0299,0.0205,0.0003,0.144,0.843,123.014,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
3C0K6ldyghoPafc1rde6qJ,Tiki Fiesta,Plastilina Mosh,Juan Manuel,afrobeat,19,187173,0.768,0.688,-9.079,0.0431,0.103,0.73,0.113,0.4,125.112,2,High-Energy / Instrumental / Melancholic / Fast,0,2
6ssqfhhoK0uLambmUXMbIA,Diss Is Nice,Die Atzen,Diss Is Nice,techno,26,162533,0.856,0.807,-3.296,0.0774,0.00236,0.000192,0.069,0.762,124.006,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
5SxOlzPBgv64oeWDifvxaF,Frequenzfett,Boris Brejcha,Feuerfalter Special Edition,minimal-techno,37,494421,0.8,0.741,-11.836,0.0587,0.000545,0.831,0.12,0.458,125.025,2,High-Energy / Instrumental / Melancholic / Fast,0,2
6I9u1BUOMgesqngW1QdwtS,Qué Más Pues?,J Balvin;Maria Becerra,Bájale como 7500,reggae,1,217361,0.904,0.817,-3.956,0.0871,0.0254,0.000141,0.232,0.753,101.988,4,High-Energy / Dance-Party / Vocal-Heavy,0,-1
23BYKSpVWcz6yPBhE6B7wm,Terra Tombada - Ao Vivo,Cezar & Paulinho;Chitãozinho & Xororó,"Alma Sertaneja, Vol. 2 (Ao Vivo)",sertanejo,45,238333,0.393,0.616,-5.697,0.0459,0.635,0.0,0.38,0.566,169.814,1,Acoustic / Slow,0,0
2V84Epavbw2k9p5gTKyrCk,Sphere of Change,Alphaxone,Echoes from Outer Silence,iranian,7,283042,0.181,0.285,-18.174,0.0442,0.867,0.942,0.084,0.0322,116.555,3,Calm / Acoustic / Instrumental / Melancholic / Slow,1,1
2lAC83w4MoLCgzq8G5RFPF,Higher - FJAAK Remix,Amelie Lens;FJAAK,Higher EP,techno,44,303605,0.747,0.749,-9.437,0.054,0.00708,0.906,0.111,0.0446,135.986,2,High-Energy / Instrumental / Melancholic / Fast,0,2
14T9W9rhv3Gj021FHfyhnD,The Flow,Model 500;Aisha Jamiel,Deep Space,detroit-techno,9,248946,0.631,0.805,-7.465,0.0621,0.007,0.0117,0.46,0.484,112.373,0,High-Energy / Fast / Live,0,0
3COXRJvjezdFZEdf289V4W,Uns,aswekeepsearching,Zia,ambient,24,281062,0.37,0.624,-6.854,0.0276,0.417,0.0138,0.12,0.167,150.053,1,Acoustic / Slow,1,0
4dqqpOUXW63UYb0zEbc1QL,The Plague 19,Winterise,The Plague 19,iranian,0,221440,0.464,0.939,-4.099,0.119,1.68e-05,0.0103,0.217,0.113,200.038,0,High-Energy / Fast / Live,0,-1
72hcFp4tYkd3dbNA9dZ3Pv,Bad Medicine,Bon Jovi,New Jersey (Deluxe Edition),metal,70,316706,0.555,0.973,-3.804,0.035,0.048,0.0,0.0853,0.805,118.642,0,High-Energy / Fast / Live,0,0
27E4psA6L8EPkArzqOwT0j,Stoner Thoughts,Billy Bueffer,Stoner Thoughts,sad,56,188813,0.789,0.527,-5.72,0.0972,0.123,0.0,0.0445,0.689,81.508,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
5lo0Wvjeg14DRNGZ7d2D1p,其實都沒有,Aska Yang,初 . 愛,mandopop,48,231506,0.537,0.396,-8.533,0.0363,0.927,8.54e-05,0.126,0.386,135.593,1,Acoustic / Slow,1,0
53IcObq6WkHmE94wnfsQuC,Abrázame Fuerte - Remastered,Enrique Guzman,Grandes Canciones (Remastered),rock-n-roll,32,167986,0.29,0.394,-10.824,0.0342,0.636,0.0,0.422,0.339,93.779,1,Acoustic / Slow,1,-1
7Bcjjhemjq1HxoWkTw4X6O,The Beautiful People,Marilyn Manson,Halloween Spooky Party 2022,metal,0,222773,0.609,0.948,-4.938,0.113,0.00404,0.0978,0.042,0.786,144.037,4,High-Energy / Dance-Party / Vocal-Heavy,0,-1
72pGB4XOzAE45n0Zt7wP5A,I'll Go,Direct;Park Avenue,Cold Ground,dubstep,50,261253,0.396,0.579,-7.733,0.0433,0.197,0.00905,0.0974,0.0587,150.105,1,Acoustic / Slow,1,0
0E4XsOH9i5yyP1ajBflsJG,Twitching in the Auras,Trap Them,Crown Feral,grindcore,11,210533,0.55,0.943,-4.53,0.066,1.7e-05,0.613,0.283,0.184,120.08,2,High-Energy / Instrumental / Melancholic / Fast,0,0
3wNycDzsKr9SYh58yWsnP2,秋がくれた切符,Mr.Children,重力と呼吸,j-pop,39,210733,0.287,0.592,-6.486,0.0267,0.425,5.47e-06,0.335,0.386,77.583,1,Acoustic / Slow,1,0
5y6DhwlDmP9BX83aD5BZnS,Nevermore,Morbid Angel,Illud Divinum Insanus,black-metal,18,307840,0.546,0.897,-5.875,0.0786,1.31e-05,0.00668,0.629,0.244,116.957,0,High-Energy / Fast / Live,0,0
2HCml99aKlW0dcCPZMOKQX,Let Me - Nezhdan Remix,Nikko Culture;Nezhdan,Let Me,groove,36,428717,0.774,0.629,-8.986,0.0368,0.175,0.0618,0.0975,0.152,117.02,1,Acoustic / Slow,1,-1
2ZJSwAg4q1EvxdbTwyzkhW,Jumper,Rudimental;Kareen Lomax,Running Songs,funk,0,194793,0.727,0.725,-4.725,0.0382,0.0911,0.00117,0.163,0.825,130.016,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
1RgiH5ucgoEWDKmGyA5drQ,Neptune,Sleeping At Last,Atlas: I,ambient,57,280370,0.602,0.371,-11.575,0.0322,0.23,0.0,0.0887,0.211,120.01,1,Acoustic / Slow,1,0
7zJg7aNCvTKW9EtG1Dvzkl,Fix My Eyes,for KING & COUNTRY,RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),world-music,57,215933,0.587,0.739,-5.762,0.0365,0.0539,2.08e-06,0.049,0.549,100.005,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
3OC84eKMxRJ4x0Hcwl9i4i,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,刻在我心底的名字 (Your Name Engraved Herein),mandopop,65,320165,0.425,0.201,-11.961,0.0373,0.873,0.0,0.111,0.267,136.328,1,Acoustic / Slow,1,0
6q8AvEr7oG3tgmmtI6O2uS,Den siste mohikanen,Little Gerhard,16 Svenska originalklassiker,rock-n-roll,40,174546,0.595,0.804,-4.511,0.0377,0.48,0.0,0.173,0.924,131.655,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
7ekUc65CJ5uZ7ekqU9oXwI,Biomechanic man,Lordi,Get Heavy,heavy-metal,21,202026,0.185,0.968,-4.304,0.403,6.76e-05,1.21e-05,0.968,0.278,75.314,0,High-Energy / Fast / Live,0,-1
7Mqdzo9NcZLUwTAoyV2AeE,Horizon,ARTBAT,Horizon,electronic,63,464516,0.647,0.66,-10.309,0.0405,0.0331,0.914,0.665,0.0174,124.023,2,High-Energy / Instrumental / Melancholic / Fast,1,-1
0IXccDhLV6gxAYF2bJmqYB,Uno,Villem;Phase,Uno,drum-and-bass,18,342503,0.566,0.873,-5.785,0.042,0.000575,0.873,0.104,0.152,174.029,2,High-Energy / Instrumental / Melancholic / Fast,0,-1
52LbfFLnCm9liqK6VBBoQD,Up n Stuck,22Gz;Kodak Black,Walk in the Park Rap,r-n-b,0,193970,0.869,0.802,-3.37,0.504,0.0978,0.0,0.0998,0.346,140.89,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
6ozdSeARbPqVWRZkQ3RcJJ,Pepas - Tiësto Remix,Farruko;Tiësto,Pepas Remix EP,reggaeton,57,223384,0.769,0.688,-4.378,0.0501,0.00215,0.107,0.088,0.387,130.026,2,High-Energy / Instrumental / Melancholic / Fast,0,0
0icgGg4BN47ILHEhOSaFgh,I Would Never,PmBata,I Would Never,sad,44,157038,0.766,0.469,-8.51,0.176,0.331,0.0,0.11,0.59,92.03,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
3i0VfLdOUCks9DmAht65XI,The Best You Had,Nina Nesbitt,"The Sun Will Come up, The Seasons Will Change",singer-songwriter,60,176853,0.69,0.582,-6.259,0.0333,0.358,0.0,0.0776,0.448,122.02,1,Acoustic / Slow,1,0
0NlGoUyOJSuSHmngoibVAs,All I Want,Kodaline,In A Perfect World (Expanded Edition),rock,82,305746,0.188,0.411,-9.733,0.0484,0.174,0.153,0.0843,0.159,187.376,3,Calm / Acoustic / Instrumental / Melancholic / Slow,1,-1
1bH5saVHEnEdNyFydlkCC3,Somewhere That I Belong,Fairlane;Kala,V,dubstep,0,248210,0.532,0.911,-3.31,0.0344,0.00384,8.5e-06,0.139,0.105,94.962,0,High-Energy / Fast / Live,0,0
5ipsq9FrLYv2qsnyTKwnEK,Dans ma ville,Ken Vybz,Dans ma ville,dancehall,27,176842,0.7,0.562,-9.427,0.514,0.677,0.0,0.167,0.23,126.847,4,High-Energy / Dance-Party / Vocal-Heavy,1,0
7fGAChEASw3sxA1TFRhPfx,Passing By,Zero 7;Sophie Barker,When It Falls,trip-hop,46,291040,0.586,0.426,-10.904,0.0242,0.357,0.474,0.0762,0.21,80.941,3,Calm / Acoustic / Instrumental / Melancholic / Slow,1,-1
3Sls6T3QFvvwxciraaQh0p,Palnila Punchiri,K. G. Markose,K. G. Markose Birthday Special Songs 2020,malay,20,306001,0.74,0.669,-9.561,0.0397,0.42,7.59e-06,0.0953,0.967,169.941,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
